tconst	averageRating	numVotes
tt1099212	5.2	403838
tt1727824	8.0	403796
tt1515091	7.5	403338
tt0887912	7.6	402741
tt0367594	6.6	402156
tt2948356	8.0	402056
tt0101414	8.0	401125
tt1872181	6.6	399600
tt1568346	7.8	398747
tt0327056	7.9	398594
tt1535109	7.8	398506
tt2103281	7.6	398366
tt0319061	8.0	398076
tt0407304	6.5	397813
tt1790864	6.8	397402
tt0319262	6.4	397329
tt2713180	7.6	397288
tt0298148	7.2	396624
tt0441773	7.5	395577
tt3890160	7.6	394255
tt2119532	8.1	391281
tt1951265	6.6	391125
tt4154664	6.9	390115
tt0097165	8.1	388994
tt4972582	7.3	388084
tt2245084	7.8	386677
tt0335266	7.7	386586
tt0830515	6.6	386521
tt1895587	8.1	384367
tt0217505	7.5	383934
tt3183660	7.3	383011
tt1723121	7.0	382891
tt0382625	6.6	382098
tt0398286	7.7	380965
tt0120591	6.7	380250
tt0325710	7.7	379646
tt0362227	7.3	378879
tt0337978	7.1	377677
tt5027774	8.2	377567
tt0360717	7.2	375657
tt0099088	7.4	375572
tt0765429	7.8	375338
tt0033467	8.3	375309
tt0405422	7.1	374984
tt0120616	7.0	374836
tt0038650	8.6	374621
tt2980516	7.7	374523
tt1399103	6.2	373148
tt0780536	7.9	372881
tt3385516	6.9	372569
tt1055369	6.0	372129
tt0093779	8.1	371664
tt1245492	6.6	369441
tt0117060	7.1	368732
tt0217869	7.3	368714
tt1014759	6.4	367575
tt0139654	7.7	367102
tt1605783	7.7	366215
tt2379713	6.8	363913
tt0181852	6.3	362471
tt0831387	6.4	362357
tt0091763	8.1	362000
tt0387564	7.6	361750
tt0942385	7.0	361226
tt0163651	7.0	360110
tt0032138	8.0	359475
tt1060277	7.0	359226
tt1772341	7.7	359115
tt0119567	6.6	357441
tt0315327	6.7	355143
tt0289043	7.6	354948
tt0093773	7.8	354802
tt1905041	7.1	354693
tt1690953	7.3	353958
tt1637688	6.7	353808
tt0105695	8.2	353055
tt0446029	7.5	351825
tt0974015	6.4	351757
tt1217209	7.1	351742
tt1259521	7.0	351067
tt0458352	6.9	350191
tt0083866	7.8	349804
tt0363771	6.9	349281
tt0112864	7.6	349161
tt0086879	8.3	348729
tt0265086	7.7	348669
tt0493464	6.7	347851
tt6644200	7.5	347828
tt0079470	8.1	346053
tt0084787	8.1	345750
tt0351283	6.9	345258
tt0070047	8.0	344704
tt0103639	8.0	344348
tt7131622	7.8	344230
tt2820852	7.2	344002
tt0092005	8.1	343923
tt3397884	7.6	343768
tt0317219	7.1	343648
tt0443543	7.6	342955
tt0369339	7.5	342825
tt0349903	6.5	340315
tt1282140	7.1	339864
tt0443453	7.3	339328
tt0361862	7.7	339281
tt1210166	7.6	338460
tt0478311	6.9	338349
tt1596343	7.3	338067
tt0109686	7.3	337614
tt1190080	5.8	336717
tt0087332	7.8	336404
tt0099674	7.6	336361
tt0405094	8.4	335504
tt3170832	8.1	335178
tt0052357	8.3	334901
tt5580390	7.3	334718
tt0119094	7.3	334714
tt1371111	7.4	333024
tt1542344	7.6	332733
tt0840361	7.5	332009
tt0438488	6.5	331351
tt0232500	6.8	329912
tt0408236	7.3	329889
tt2294449	7.0	329439
tt0317740	7.0	329062
tt4425200	7.5	328847
tt0088847	7.9	328496
tt1677720	7.5	327432
tt1596363	7.8	327164
tt0120912	6.2	326273
tt1650062	7.0	325752
tt2582846	7.7	325345
tt1632708	6.5	325097
tt0119174	7.8	324905
tt1355644	7.0	324879
tt0286106	6.7	324657
tt0110475	6.9	324600
tt1587310	7.0	324543
tt0964517	7.8	324125
tt2381249	7.4	323276
tt0096895	7.5	322987
tt1065073	7.9	322701
tt0230600	7.6	321659
tt0099423	7.2	321640
tt0454848	7.6	321405
tt1477834	7.0	321261
tt1409024	6.8	321185
tt0395169	8.1	320732
tt0396269	6.9	320681
tt1182345	7.9	319954
tt1270797	6.7	319381
tt1068680	6.8	318787
tt0338751	7.5	317127
tt2380307	8.4	316674
tt0357413	7.2	316149
tt0328107	7.7	315112
tt0317919	6.9	315032
tt1187043	8.4	314747
tt0363163	8.2	314587
tt1320253	6.5	314385
tt0162661	7.3	314203
tt0455944	7.2	313455
tt0111257	7.2	312356
tt1490017	7.8	312286
tt0377092	7.0	312092
tt0343660	6.8	311666
tt0118971	7.5	311108
tt1231583	6.5	311018
tt1907668	7.3	310387
tt0119698	8.4	307852
tt0388795	7.7	307837
tt1193138	7.4	306698
tt0298130	7.1	306595
tt1306980	7.6	305954
tt0496806	6.9	305115
tt1453405	7.3	303196
